time,open,high,low,close,Volume,close_lag_1,close_lag_2,close_lag_3,close_lag_4,close_lag_5
2004-05-25,115500.2549,116719.1766,115321.8762,115440.7954,0,115595.3986,111788.4673,110323.3257,111169.6748,109345.7083
2004-05-26,115570.4239,117742.5766,115570.4239,117355.7549,0,115440.7954,115595.3986,111788.4673,110323.3257,111169.6748
2004-05-27,117495.2377,118180.428,117048.3745,117197.3289,0,117355.7549,115440.7954,115595.3986,111788.4673,110323.3257
2004-05-31,118983.4379,120006.8219,118501.8454,118682.4426,0,117197.3289,117355.7549,115440.7954,115595.3986,111788.4673
2004-06-01,119790.3638,120549.684,118575.4513,118818.4338,0,118682.4426,117197.3289,117355.7549,115440.7954,115595.3986
2004-06-02,118879.1794,119274.026,117785.7583,117816.1311,0,118818.4338,118682.4426,117197.3289,117355.7549,115440.7954
2004-06-03,117841.0736,118965.1055,116838.5587,118448.6584,0,117816.1311,118818.4338,118682.4426,117197.3289,117355.7549
2004-06-07,117131.4842,117458.3351,116091.504,116299.5,0,118448.6584,117816.1311,118818.4338,118682.4426,117197.3289
2004-06-08,116714.7655,116863.8646,114329.1801,114657.1981,0,116299.5,118448.6584,117816.1311,118818.4338,118682.4426
2004-06-09,115713.3276,116646.0143,115171.7675,116104.4543,0,114657.1981,116299.5,118448.6584,117816.1311,118818.4338
2004-06-10,116278.1519,116398.6786,115645.3866,115796.045,0,116104.4543,114657.1981,116299.5,118448.6584,117816.1311
2004-06-14,115808.3716,117530.0923,115355.2872,117469.6811,0,115796.045,116104.4543,114657.1981,116299.5,118448.6584
2004-06-15,117507.1914,117869.7746,115815.1361,116177.7194,0,117469.6811,115796.045,116104.4543,114657.1981,116299.5
2004-06-16,116017.0139,117525.6877,115866.1465,117435.1672,0,116177.7194,117469.6811,115796.045,116104.4543,114657.1981
2004-06-17,117708.3457,119733.6306,116922.4143,119310.4367,0,117435.1672,116177.7194,117469.6811,115796.045,116104.4543
2004-06-21,119020.8131,119897.5222,118899.8877,119262.6639,0,119310.4367,117435.1672,116177.7194,117469.6811,115796.045
2004-06-22,119533.9423,120260.9607,119079.5558,119927.7439,0,119262.6639,119310.4367,117435.1672,116177.7194,117469.6811
2004-06-23,119741.5975,121918.7175,119197.3175,121283.7241,0,119927.7439,119262.6639,119310.4367,117435.1672,116177.7194
2004-06-24,121408.7102,121953.2795,118746.3711,121317.9486,0,121283.7241,119927.7439,119262.6639,119310.4367,117435.1672
2004-06-28,121093.8965,121305.4934,118101.3114,118615.1897,0,121317.9486,121283.7241,119927.7439,119262.6639,119310.4367
2004-06-29,118524.5053,119884.7712,118464.049,118947.6991,0,118615.1897,121317.9486,121283.7241,119927.7439,119262.6639
2004-06-30,117594.008,118370.9951,117534.2398,118251.4586,0,118947.6991,118615.1897,121317.9486,121283.7241,119927.7439
2004-07-01,116308.9266,117778.2157,114134.3787,116896.6422,0,118251.4586,118947.6991,118615.1897,121317.9486,121283.7241
2004-07-05,115036.0142,115353.953,112405.7938,113417.4171,0,116896.6422,118251.4586,118947.6991,118615.1897,121317.9486
2004-07-06,113505.7287,116687.5917,113505.7287,116311.5533,0,113417.4171,116896.6422,118251.4586,118947.6991,118615.1897
2004-07-07,116250.6116,118362.6809,115729.8273,117870.8292,0,116311.5533,113417.4171,116896.6422,118251.4586,118947.6991
2004-07-08,116673.979,116960.5065,114825.877,116788.59,0,117870.8292,116311.5533,113417.4171,116896.6422,118251.4586
2004-07-12,116964.5318,117108.117,115011.7726,115298.943,0,116788.59,117870.8292,116311.5533,113417.4171,116896.6422
2004-07-13,115557.1135,116881.0556,115557.1135,116593.2421,0,115298.943,116788.59,117870.8292,116311.5533,113417.4171
2004-07-14,116752.2983,116925.1792,115715.0123,116348.9093,0,116593.2421,115298.943,116788.59,117870.8292,116311.5533
2004-07-15,116377.7228,117415.0087,116089.5878,117011.6197,0,116348.9093,116593.2421,115298.943,116788.59,117870.8292
2004-07-19,117094.7873,117325.6297,115305.759,115334.6143,0,117011.6197,116348.9093,116593.2421,115298.943,116788.59
2004-07-20,115999.8936,117710.8921,114520.895,115013.8945,0,115334.6143,117011.6197,116348.9093,116593.2421,115298.943
2004-07-21,115314.2854,116098.934,114384.3315,114384.3315,0,115013.8945,115334.6143,117011.6197,116348.9093,116593.2421
2004-07-22,114899.2771,115760.6567,113015.9217,113848.102,0,114384.3315,115013.8945,115334.6143,117011.6197,116348.9093
2004-07-26,113406.0421,114806.8373,112676.4613,112909.9272,0,113848.102,114384.3315,115013.8945,115334.6143,117011.6197
2004-07-27,113191.6416,114362.186,112869.7419,113367.2233,0,112909.9272,113848.102,114384.3315,115013.8945,115334.6143
