Date,USD,IDR
5/27/2014,"1.266,50 (-1.357,99)","472.339 (-891.398,98)"
5/28/2014,"1.259,50 (-1.364,99)","469.729 (-894.009,62)"
5/29/2014,"1.257,00 (-1.367,49)","468.796 (-894.941,99)"
5/30/2014,"1.246,10 (-1.378,39)","464.731 (-899.007,13)"
5/31/2014,"1.251,30 (-1.373,19)","466.671 (-897.067,80)"
6/1/2014,"1.251,30 (-1.373,19)","466.671 (-897.067,80)"
6/2/2014,"1.245,50 (-1.378,99)","470.514 (-893.224,34)"
6/3/2014,"1.244,80 (-1.379,69)","470.250 (-893.488,78)"
6/4/2014,"1.244,50 (-1.379,99)","474.138 (-889.600,95)"
6/5/2014,"1.253,90 (-1.370,59)","477.719 (-886.019,68)"
6/6/2014,"1.252,30 (-1.372,19)","475.096 (-888.642,37)"
6/7/2014,"1.253,20 (-1.371,29)","475.438 (-888.300,93)"
6/8/2014,"1.253,20 (-1.371,29)","475.438 (-888.300,93)"
6/9/2014,"1.254,20 (-1.370,29)","474.809 (-888.929,64)"
6/10/2014,"1.260,80 (-1.363,69)","477.307 (-886.431,04)"
6/11/2014,"1.261,20 (-1.363,29)","477.459 (-886.279,61)"
6/12/2014,"1.273,50 (-1.350,99)","483.139 (-880.599,54)"
6/13/2014,"1.275,00 (-1.349,49)","482.683 (-881.055,28)"
6/14/2014,"1.277,90 (-1.346,59)","483.781 (-879.957,41)"
6/15/2014,"1.277,90 (-1.346,59)","483.781 (-879.957,41)"
6/16/2014,"1.275,90 (-1.348,59)","484.049 (-879.689,03)"
6/17/2014,"1.270,50 (-1.353,99)","484.043 (-879.695,30)"
6/18/2014,"1.272,90 (-1.351,59)","489.050 (-874.688,47)"
6/19/2014,"1.312,50 (-1.311,99)","502.682 (-861.056,51)"
6/20/2014,"1.315,30 (-1.309,19)","503.754 (-859.984,12)"
6/21/2014,"1.315,40 (-1.309,09)","503.793 (-859.945,82)"
6/22/2014,"1.315,40 (-1.309,09)","503.793 (-859.945,82)"
6/23/2014,"1.317,50 (-1.306,99)","504.597 (-859.141,53)"
6/24/2014,"1.319,50 (-1.304,99)","506.423 (-857.314,97)"
6/25/2014,"1.322,10 (-1.302,39)","511.141 (-852.597,77)"
6/26/2014,"1.316,20 (-1.308,29)","508.860 (-854.878,78)"
6/27/2014,"1.319,30 (-1.305,19)","511.119 (-852.619,87)"
6/28/2014,"1.315,60 (-1.308,89)","509.685 (-854.053,31)"
6/29/2014,"1.315,60 (-1.308,89)","509.685 (-854.053,31)"
6/30/2014,"1.318,90 (-1.305,59)","504.603 (-859.135,38)"
7/1/2014,"1.327,80 (-1.296,69)","505.874 (-857.864,78)"
7/2/2014,"1.330,10 (-1.294,39)","502.174 (-861.564,23)"
7/3/2014,"1.320,80 (-1.303,69)","505.330 (-858.408,45)"
7/4/2014,"1.320,70 (-1.303,79)","505.292 (-858.446,71)"
7/5/2014,"1.320,90 (-1.303,59)","505.368 (-858.370,19)"
7/6/2014,"1.320,90 (-1.303,59)","505.368 (-858.370,19)"
7/7/2014,"1.316,70 (-1.307,79)","495.295 (-868.443,67)"
7/8/2014,"1.315,70 (-1.308,79)","493.861 (-869.877,35)"
7/9/2014,"1.322,50 (-1.301,99)","496.414 (-867.324,90)"
7/10/2014,"1.337,30 (-1.287,19)","496.594 (-867.143,97)"
7/11/2014,"1.336,60 (-1.287,89)","498.483 (-865.255,28)"
7/12/2014,"1.339,40 (-1.285,09)","499.527 (-864.211,02)"
7/13/2014,"1.339,40 (-1.285,09)","499.527 (-864.211,02)"
7/14/2014,"1.306,40 (-1.318,09)","487.220 (-876.518,33)"
7/15/2014,"1.296,30 (-1.328,19)","486.579 (-877.159,33)"
7/16/2014,"1.301,40 (-1.323,09)","489.539 (-874.198,97)"
7/17/2014,"1.318,60 (-1.305,89)","493.360 (-870.378,58)"
7/18/2014,"1.307,40 (-1.317,09)","487.593 (-876.145,38)"
7/19/2014,"1.311,10 (-1.313,39)","488.973 (-874.765,47)"
7/20/2014,"1.311,10 (-1.313,39)","488.973 (-874.765,47)"
7/21/2014,"1.313,00 (-1.311,49)","489.682 (-874.056,86)"
7/22/2014,"1.307,70 (-1.316,79)","486.654 (-877.084,58)"
7/23/2014,"1.303,90 (-1.320,59)","483.144 (-880.594,80)"
7/24/2014,"1.291,30 (-1.333,19)","478.475 (-885.263,57)"
7/25/2014,"1.298,60 (-1.325,89)","482.224 (-881.514,87)"
7/26/2014,"1.308,80 (-1.315,69)","486.011 (-877.727,19)"
7/27/2014,"1.308,80 (-1.315,69)","486.011 (-877.727,19)"
7/28/2014,"1.303,40 (-1.321,09)","484.006 (-879.732,44)"
7/29/2014,"1.297,20 (-1.327,29)","481.704 (-882.034,75)"
7/30/2014,"1.294,40 (-1.330,09)","480.664 (-883.074,51)"
7/31/2014,"1.285,20 (-1.339,29)","477.248 (-886.490,84)"
8/1/2014,"1.295,00 (-1.329,49)","491.296 (-872.442,90)"
8/2/2014,"1.294,70 (-1.329,79)","491.182 (-872.556,71)"
8/3/2014,"1.294,70 (-1.329,79)","491.182 (-872.556,71)"
8/4/2014,"1.287,90 (-1.336,59)","486.532 (-877.206,83)"
8/5/2014,"1.285,70 (-1.338,79)","485.701 (-878.037,93)"
8/6/2014,"1.308,10 (-1.316,39)","493.111 (-870.627,26)"
8/7/2014,"1.312,50 (-1.311,99)","495.825 (-867.913,66)"
8/8/2014,"1.311,95 (-1.312,54)","497.937 (-865.801,53)"
8/9/2014,"1.309,85 (-1.314,64)","497.140 (-866.598,56)"
8/10/2014,"1.309,85 (-1.314,64)","497.140 (-866.598,56)"
8/11/2014,"1.307,40 (-1.317,09)","491.796 (-871.941,99)"
8/12/2014,"1.314,75 (-1.309,74)","493.505 (-870.233,94)"
8/13/2014,"1.310,85 (-1.313,64)","492.041 (-871.697,84)"
8/14/2014,"1.313,45 (-1.311,04)","493.017 (-870.721,91)"
8/15/2014,"1.304,70 (-1.319,79)","489.732 (-874.006,31)"
8/16/2014,"1.304,50 (-1.319,99)","489.657 (-874.081,38)"
8/17/2014,"1.304,50 (-1.319,99)","489.657 (-874.081,38)"
8/18/2014,"1.298,50 (-1.325,99)","487.405 (-876.333,54)"
8/19/2014,"1.295,30 (-1.329,19)","486.204 (-877.534,69)"
8/20/2014,"1.293,10 (-1.331,39)","486.708 (-877.030,11)"
8/21/2014,"1.275,40 (-1.349,09)","480.456 (-883.282,14)"
8/22/2014,"1.280,20 (-1.344,29)","479.671 (-884.066,97)"
8/23/2014,"1.281,60 (-1.342,89)","480.196 (-883.542,42)"
8/24/2014,"1.281,60 (-1.342,89)","480.196 (-883.542,42)"
8/25/2014,"1.277,90 (-1.346,59)","481.275 (-882.463,62)"
8/26/2014,"1.284,10 (-1.340,39)","483.651 (-880.087,33)"
8/27/2014,"1.283,40 (-1.341,09)","483.099 (-880.639,82)"
8/28/2014,"1.290,90 (-1.333,59)","484.843 (-878.895,75)"
8/29/2014,"1.287,60 (-1.336,89)","485.052 (-878.686,28)"
8/30/2014,"1.288,10 (-1.336,39)","485.241 (-878.497,92)"
8/31/2014,"1.288,10 (-1.336,39)","485.241 (-878.497,92)"
9/1/2014,"1.286,40 (-1.338,09)","484.311 (-879.427,84)"
